date,prediction,ci_lower,ci_upper,actual
2023-10-14,14528.704875764095,0.0,46317.49105635056,
2023-10-15,15007.984195505425,0.0,49108.82803115196,
2023-10-16,15224.735220880686,0.0,48136.62358932702,
2023-10-17,15443.730666115349,0.0,48259.21196386168,
2023-10-18,15661.438304349957,0.0,48164.40239906003,
2023-10-19,15874.434705980322,0.0,49043.40328001358,
2023-10-20,15741.32614103928,0.0,47023.79543550168,
2023-10-21,15926.932729112206,0.0,47747.45533296737,
2023-10-22,16384.86885616254,0.0,49516.9353955163,
2023-10-23,16560.06128347561,0.0,48946.424367809224,
2023-10-24,16719.075015137238,0.0,50116.45653767532,
2023-10-25,16860.670510596356,0.0,51064.59255852088,
2023-10-26,16984.144750150168,0.0,50323.16853144547,
2023-10-27,16751.165242835435,0.0,50588.92189126934,
2023-10-28,16829.855589354152,0.0,50188.44949398969,
2023-10-29,17177.26855843612,0.0,48061.40320246709,
2023-10-30,17241.791368126705,0.0,50105.58583507074,
2023-10-31,17293.35673811764,0.0,51153.644739571675,
2023-11-01,17333.88693033095,0.0,49758.79364682591,
2023-11-02,17365.526938860014,0.0,50436.38588955219,
2023-11-03,17052.379483654957,0.0,48038.38934022763,
2023-11-04,17064.503786806046,0.0,49213.30963431264,
2023-11-05,17360.317150961368,0.0,49403.17274505874,
2023-11-06,17388.94668809285,0.0,50526.191984230485,
2023-11-07,17420.40692808956,0.0,49641.96428189942,
2023-11-08,17456.032118258438,0.0,49705.122302064956,
2023-11-09,17496.720338715102,0.0,49072.5282689462,
2023-11-10,17204.702378916758,0.0,52222.94803281912,
2023-11-11,17247.596948106286,0.0,49870.94041667182,
2023-11-12,17580.89013239189,0.0,50539.927338502195,
2023-11-13,17650.38465585091,0.0,51003.328868745964,
2023-11-14,17722.492237626822,0.0,51239.44524129541,
2023-11-15,17794.794828633872,0.0,51695.87141258973,
2023-11-16,17864.428310925956,0.0,52216.50219443362,
2023-11-17,17589.997640193935,0.0,51242.35202960657,
2023-11-18,17635.78072266015,0.0,50671.99957339966,
2023-11-19,17954.354457881414,0.0,51347.064768254,
2023-11-20,17989.18394967104,0.0,49161.79633123299,
2023-11-21,18005.04367760157,0.0,51414.077590410045,
2023-11-22,17998.692100416585,0.0,49965.851554647335,
2023-11-23,17967.34927731753,0.0,53477.90431680727,
2023-11-24,17570.682928092276,0.0,47622.90047625562,
2023-11-25,17475.057213086082,0.0,50994.15019399671,
2023-11-26,17636.17530254411,0.0,48209.11586844695,
2023-11-27,17501.655105960475,0.0,49369.6638758367,
2023-11-28,17341.406116455422,0.0,50211.79051986597,
2023-11-29,17158.2288404845,0.0,51322.574714718874,
2023-11-30,16956.18725449145,0.0,50272.57747230116,
2023-12-01,16402.46141815783,0.0,49659.12162785081,
2023-12-02,16171.437060018792,0.0,48827.40167496617,
2023-12-03,16227.166515472694,0.0,51524.89802873454,
2023-12-04,16025.744401311862,0.0,48044.54814129116,
2023-12-05,15845.470605372482,0.0,48631.89238485108,
2023-12-06,15697.227183600891,0.0,49923.695669941924,
2023-12-07,15592.625099930188,0.0,49603.52989013886,
2023-12-08,15205.63366487988,0.0,48105.11562067365,
2023-12-09,15216.455300046802,0.0,47636.37637393786,
2023-12-10,15593.785752509753,0.0,48132.470076503705,
2023-12-11,15797.008667281403,0.0,53636.03959503039,
2023-12-12,16106.202251079165,0.0,49138.01119399668,
2023-12-13,16532.38926358006,0.0,46895.72193133862,
2023-12-14,17085.590274577582,0.0,49295.45198214509,
2023-12-15,17436.396290473298,0.0,49962.487315103914,
2023-12-16,18259.825772931956,0.0,50048.98924489133,
2023-12-17,19517.607642522114,0.0,53390.01114802546,
2023-12-18,20660.4396657743,0.0,54789.395125776166,
2023-12-19,21958.099444155614,0.0,53994.140682406985,
2023-12-20,23409.8377208908,0.0,57784.17389671765,
2023-12-21,25012.611443541624,0.0,58128.16524668197,
2023-12-22,26422.869256990958,0.0,59645.52589723695,
2023-12-23,28300.650167930875,0.0,61409.61912800045,
2023-12-24,30592.131937992348,0.0,65228.892840424814,
2023-12-25,32732.17293311042,0.0,65569.03200908814,
2023-12-26,34974.71847775962,189.7017970094276,67912.30713111233,
2023-12-27,37303.49491094703,5040.26403803156,70757.43608918902,
2023-12-28,39700.542073355115,7961.742819177948,72821.43456471959,
2023-12-29,41808.290167792264,5192.135517285746,71590.01903146935,
2023-12-30,44273.93514411664,12480.97096772648,77436.00933314292,
2023-12-31,47032.24288248596,13694.539707759928,79106.836462957,
2024-01-01,49508.32008183558,18674.612273500872,80999.40869479149,
2024-01-02,51948.2176897209,21858.14957096666,86212.59370389032,
2024-01-03,54329.78559512769,21780.54994056288,89420.12021105949,
2024-01-04,56631.32568722669,24447.40015504876,88270.57412018305,
2024-01-05,58493.74653375586,25970.25429789011,92376.343876774,
2024-01-06,60564.97214537019,28412.414480447176,95112.70469548125,
2024-01-07,62782.73445825504,31392.66841474435,97265.05252960554,
2024-01-08,64577.28785742201,33313.68448231116,96364.03633322938,
2024-01-09,66201.91303475571,32514.92294913297,99401.02862917812,
2024-01-10,67643.63136445518,31409.280961265526,101817.87851893688,
2024-01-11,68891.68029674135,35439.07344722994,101010.9130614951,
2024-01-12,69599.45726910437,37804.109244853586,102704.67047032215,
2024-01-13,70428.68958438144,36840.70481968075,101794.32265776866,
2024-01-14,71331.96547959774,37849.232437360864,104266.07322071547,
2024-01-15,71755.17076491273,41485.87892300312,103830.7369860521,
2024-01-16,71967.70469488479,37648.39279281767,102481.6186383707,
2024-01-17,71972.90277298345,38211.629194969915,105434.42213959615,
2024-01-18,71776.22349545844,37060.29979812023,104756.8329429023,
2024-01-19,71046.91286416157,39420.637432630836,105935.90081910002,
2024-01-20,70461.91011798674,37361.377260875364,104429.015947096,
2024-01-21,69988.13543184799,37619.330961762826,103348.25585781579,
2024-01-22,69084.70888074928,37044.54568857216,103096.5654218424,
2024-01-23,68032.97852886742,33742.47656604917,98990.58656395435,
2024-01-24,66846.7887277387,34694.96137829019,100987.34347615253,
2024-01-25,65540.5481269016,33452.43944677761,99357.72548741022,
2024-01-26,63790.81279080193,30500.792530110655,97651.30142365508,
2024-01-27,62280.14848062505,28148.2393497998,95476.87146194272,
2024-01-28,60979.41250704997,26786.289444944905,94240.09415392212,
2024-01-29,59350.00318516344,25240.400640478703,94164.73893213642,
2024-01-30,57673.952614025606,26002.335538384737,89561.33463726476,
2024-01-31,55964.29093121097,21938.669348429583,89559.70710499154,
2024-02-01,54233.23791016903,19790.89712806836,86066.52684008877,
2024-02-02,52153.93306878726,17383.34848572624,81994.30308160541,
2024-02-03,50404.46365823475,19459.601234818423,81866.47701144918,
2024-02-04,48950.325920015224,15852.940912284259,83186.22829158309,
2024-02-05,47246.862438624885,16795.309328015486,79095.2205756983,
2024-02-06,45569.54606700293,10299.483668201245,77897.94519984162,
2024-02-07,43924.53343166361,11208.17945080425,79693.75332624774,
2024-02-08,42317.038981047095,8333.755886393605,74501.45934333051,
2024-02-09,40413.236208787916,7971.42654982181,72332.10917679158,
2024-02-10,38884.441367016974,4897.508758867655,74590.30277739077,
2024-02-11,37689.71158652949,7288.824854591742,70635.58904713302,
2024-02-12,36278.39742395205,5720.162542615791,66904.37940468978,
2024-02-13,34920.518231170514,2527.185011185007,69693.77297345937,
2024-02-14,33617.382036418596,158.5110496756052,67022.12168560426,
2024-02-15,32370.000364633514,0.0,65496.67741242483,
2024-02-16,30841.004868421092,0.0,60871.75158317494,
2024-02-17,29698.82207240187,0.0,60291.48221992673,
2024-02-18,28900.239834385535,0.0,60206.31860585208,
2024-02-19,27892.90786118225,0.0,60253.58943864342,
2024-02-20,26945.64353789502,0.0,59515.64970055518,
2024-02-21,26058.96807020507,0.0,59109.92222630946,
2024-02-22,25233.427013521046,0.0,59157.405975217815,
2024-02-23,24131.40592417405,0.0,55976.45847137328,
2024-02-24,23421.20139431464,0.0,55421.195107672254,
2024-02-25,23059.48500466755,0.0,56590.37426412298,
2024-02-26,22493.706315140844,0.0,57619.734601280245,
2024-02-27,21992.30967208511,0.0,55536.372865743026,
2024-02-28,21555.192985356498,0.0,56548.81637197468,
2024-02-29,21181.965245048996,0.0,54748.72432224758,
2024-03-01,20533.71567520228,0.0,54278.42711379135,
2024-03-02,20277.056355589513,0.0,51525.90370493951,
2024-03-03,20366.576782335065,0.0,51537.115779410364,
2024-03-04,20247.25677083359,0.0,52140.534504398645,
2024-03-05,20184.71210983566,0.0,52644.00947554449,
2024-03-06,20175.700116360284,0.0,51063.15261786975,
2024-03-07,20216.440262876033,0.0,52418.34518389882,
2024-03-08,19964.460637385695,0.0,50312.36976728457,
2024-03-09,20082.729464943928,0.0,54844.75884940822,
2024-03-10,20522.207178782428,0.0,52773.707730806,
2024-03-11,20724.3621787157,0.0,52282.70238940908,
2024-03-12,20951.52124122878,0.0,54659.43665569937,
2024-03-13,21197.47821692613,0.0,53133.47055197997,
2024-03-14,21455.912713824386,0.0,54720.817096749204,
2024-03-15,21382.326203466855,0.0,54694.94723040151,
2024-03-16,21638.251707405077,0.0,53056.88616786062,
2024-03-17,22173.869828373125,0.0,52571.883540614115,
2024-03-18,22430.571971221958,0.0,57491.270902089804,
2024-03-19,22671.33992636453,0.0,55247.606107560736,
2024-03-20,22891.36421548527,0.0,57131.96940637314,
2024-03-21,23086.452255148066,0.0,55011.81761793123,
2024-03-22,22914.933744835584,0.0,59719.68327060665,
2024-03-23,23041.82001948421,0.0,54352.849770076165,
2024-03-24,23421.351308788573,0.0,58669.1843507843,
2024-03-25,23499.474485670897,0.0,56522.12298813253,
2024-03-26,23544.122721327505,0.0,53991.74440268774,
2024-03-27,23555.72213090118,0.0,57448.93252441867,
