date,forecast_train_2022,ci_lower_2022,ci_upper_2022,forecast_train_2024,ci_lower_2024,ci_upper_2024
2025-08-23,36810.92218942184,27364.510856918074,45182.316046704924,0.0,0.0,7861.252321173536
2025-08-24,36954.217654629996,27578.824244283984,45938.88909398106,0.0,0.0,7868.156650849143
2025-08-25,37020.85963086282,28537.25358284427,46188.24351677155,0.0,0.0,8134.699370419981
2025-08-26,37085.846619189666,28565.32979214789,46171.06282314234,0.0,0.0,7567.4053570255655
2025-08-27,37101.77024121593,28390.42688450988,46377.19907547378,0.0,0.0,7823.9716265273855
2025-08-28,37167.231300755084,28455.171462491668,46036.607450169504,0.0,0.0,7402.170191214989
2025-08-29,37230.99403706377,28735.454887301126,46358.66747184299,0.0,0.0,7988.553835785656
2025-08-30,37294.41099320172,28668.205997348345,46210.3419939326,0.0,0.0,7933.132350520077
2025-08-31,37437.36303833939,28254.861358974103,46865.07493284988,0.0,0.0,8212.266225636973
2025-09-01,37505.75713254802,28212.379469421696,46458.1382635562,0.0,0.0,7545.283185890224
2025-09-02,37574.45779271915,28826.01086968773,46922.40528176993,0.0,0.0,8790.292728091634
2025-09-03,37595.86101932818,28849.647575883013,46219.900086749534,0.0,0.0,8557.188566519175
2025-09-04,37668.31778672476,28631.697672383714,47202.41997989982,0.0,0.0,8460.859541398793
2025-09-05,37740.297335217096,28351.818874433142,46498.00927781347,0.0,0.0,7765.2433571441325
2025-09-06,37812.82239349175,29272.477314615648,47356.467113470746,0.0,0.0,8243.380357714015
2025-09-07,37965.420535896905,29212.022342225468,47984.175088739124,0.0,0.0,7603.046871469529
2025-09-08,38043.63389995164,28735.065821385288,47193.193677767515,0.0,0.0,8084.734609269196
2025-09-09,38121.96284195321,28669.62036377177,47505.658999243504,0.0,0.0,7504.584261824034
2025-09-10,38152.451903831825,29484.982365683612,47346.57387189606,0.0,0.0,9508.157744381799
2025-09-11,38233.12481354671,29677.555420675693,46849.4361501029,0.0,0.0,8351.502532650848
2025-09-12,38312.15839483243,29371.007253357908,47488.51553177156,13.99301505091502,0.0,8596.296326139998
2025-09-13,38390.32718154908,29552.860010774304,47357.419001989096,66.26961564133153,0.0,8894.224975575673
2025-09-14,38546.96264732226,29896.108944427004,46954.210781255126,118.12837273983502,0.0,8889.832142663898
2025-09-15,38627.46903055133,29125.6503423899,47673.99232681388,170.11897848142456,0.0,8746.94507283839
2025-09-16,38706.27114352388,29161.045913257767,47761.15959894329,221.86151654609077,0.0,9159.776093229897
